iter	Passed	Remaining
599	3239	2159
600	3245	2154
601	3251	2149
602	3255	2143
603	3259	2137
604	3263	2130
605	3267	2124
606	3270	2117
607	3274	2110
608	3277	2104
609	3281	2097
610	3284	2090
611	3287	2084
612	3291	2077
613	3294	2071
614	3298	2064
615	3301	2058
616	3305	2051
617	3308	2045
618	3312	2038
619	3315	2032
620	3318	2025
621	3322	2019
622	3325	2012
623	3329	2006
624	3333	1999
625	3336	1993
626	3340	1987
627	3343	1980
628	3350	1976
629	3354	1970
630	3370	1970
631	3375	1965
632	3382	1961
633	3390	1957
634	3396	1952
635	3400	1946
636	3405	1940
637	3409	1934
638	3415	1929
639	3421	1924
640	3426	1919
641	3433	1914
642	3438	1909
643	3444	1904
644	3450	1899
645	3455	1893
646	3459	1887
647	3462	1881
648	3466	1874
649	3470	1868
650	3474	1862
651	3478	1856
652	3481	1850
653	3485	1843
654	3489	1837
655	3492	1831
656	3496	1825
657	3499	1819
658	3503	1812
659	3506	1806
660	3510	1800
661	3513	1793
662	3516	1787
663	3520	1781
664	3525	1776
665	3529	1770
666	3537	1765
667	3540	1759
668	3548	1755
669	3552	1749
670	3556	1743
671	3562	1738
672	3566	1732
673	3572	1728
674	3582	1724
675	3586	1719
676	3591	1713
677	3597	1708
678	3602	1703
679	3608	1698
680	3614	1693
681	3621	1688
682	3629	1684
683	3635	1679
684	3641	1674
685	3647	1669
686	3656	1665
687	3667	1663
688	3674	1658
689	3678	1652
690	3682	1646
691	3686	1640
692	3690	1634
693	3693	1628
694	3697	1622
695	3701	1616
696	3705	1610
697	3710	1605
698	3715	1599
699	3719	1594
700	3723	1588
701	3726	1582
702	3730	1575
703	3734	1569
704	3751	1569
705	3768	1569
706	3773	1563
707	3777	1558
708	3782	1552
709	3785	1546
710	3790	1540
711	3795	1535
712	3802	1530
713	3808	1525
714	3814	1520
715	3819	1515
716	3825	1509
717	3832	1505
718	3838	1500
719	3844	1494
720	3849	1489
721	3853	1483
722	3856	1477
723	3860	1471
724	3863	1465
725	3866	1459
726	3869	1453
727	3874	1447
728	3877	1441
729	3881	1435
730	3885	1429
731	3889	1424
732	3893	1418
733	3896	1412
734	3900	1406
735	3903	1400
736	3907	1394
737	3910	1388
738	3920	1384
739	3927	1379
740	3932	1374
741	3935	1368
742	3938	1362
743	3944	1357
744	3948	1351
745	3952	1345
746	3955	1339
747	3961	1334
748	3966	1329
749	3972	1324
750	3978	1319
751	3984	1314
752	3992	1309
753	3999	1304
754	4005	1299
755	4011	1294
756	4017	1289
757	4022	1284
758	4027	1278
759	4031	1273
760	4035	1267
761	4039	1261
762	4042	1255
763	4045	1249
764	4050	1244
765	4053	1238
766	4057	1232
767	4060	1226
768	4064	1220
769	4067	1214
770	4070	1209
771	4074	1203
772	4077	1197
773	4083	1192
774	4087	1186
775	4090	1180
776	4095	1175
777	4098	1169
778	4105	1164
779	4111	1159
780	4118	1154
781	4123	1149
782	4128	1144
783	4132	1138
784	4138	1133
785	4142	1127
786	4147	1122
787	4152	1117
788	4157	1111
789	4162	1106
790	4168	1101
791	4174	1096
792	4179	1090
793	4184	1085
794	4191	1080
795	4197	1075
796	4203	1070
797	4209	1065
798	4215	1060
799	4221	1055
800	4226	1049
801	4229	1044
802	4233	1038
803	4236	1032
804	4241	1027
805	4244	1021
806	4247	1015
807	4251	1010
808	4255	1004
809	4258	998
810	4261	993
811	4264	987
812	4268	981
813	4272	976
814	4275	970
815	4278	964
816	4281	959
817	4286	953
818	4290	948
